domain,whois url,tag 1,tag 2,tag 3,tag 4,tag 5,tag 6,tag 7,tag 8,tag 9,tag 10,adsense,rank,google analytics,status,admin contact name,admin contact org,admin contact street,admin contact city,admin contact state,admin contact postal,admin contact country,admin contact phone,admin contact fax,admin contact email 1,admin contact email 2,admin contact email 3,billing contact name,billing contact org,billing contact street,billing contact city,billing contact state,billing contact postal,billing contact country,billing contact phone,billing contact fax,billing contact email 1,billing contact email 2,billing contact email 3,registrant contact name,registrant contact org,registrant contact street,registrant contact city,registrant contact state,registrant contact postal,registrant contact country,registrant contact phone,registrant contact fax,registrant contact email 1,registrant contact email 2,registrant contact email 3,technical contact name,technical contact org,technical contact street,technical contact city,technical contact state,technical contact postal,technical contact country,technical contact phone,technical contact fax,technical contact email 1,technical contact email 2,technical contact email 3,create date,expiration date,email domain 1,email domain 2,email domain 3,email domain 4,email domain 5,email domain 6,soa email 1,additional whois email 1,additional whois email 2,additional whois email 3,ip 1 - address,ip 1 - asn 1,ip 1 - country_code,ip 1 - isp,ip 2 - address,ip 2 - asn 1,ip 2 - country_code,ip 2 - isp,ip 3 - address,ip 3 - asn 1,ip 3 - country_code,ip 3 - isp,ip 4 - address,ip 4 - asn 1,ip 4 - country_code,ip 4 - isp,ip 5 - address,ip 5 - asn 1,ip 5 - country_code,ip 5 - isp,mx 1 - host,mx 1 - domain,mx 1 - ip 1,mx 1 - ip 2,mx 1 - ip 3,mx 1 - ip 4,mx 1 - ip 5,mx 1 - ip 6,mx 1 - ip 7,mx 1 - ip 8,mx 1 - ip 9,mx 1 - priority,mx 2 - host,mx 2 - domain,mx 2 - ip 1,mx 2 - ip 2,mx 2 - ip 3,mx 2 - ip 4,mx 2 - ip 5,mx 2 - ip 6,mx 2 - ip 7,mx 2 - ip 8,mx 2 - ip 9,mx 2 - priority,mx 3 - host,mx 3 - domain,mx 3 - ip 1,mx 3 - ip 2,mx 3 - ip 3,mx 3 - ip 4,mx 3 - ip 5,mx 3 - ip 6,mx 3 - ip 7,mx 3 - ip 8,mx 3 - ip 9,mx 3 - priority,mx 4 - host,mx 4 - domain,mx 4 - ip 1,mx 4 - ip 2,mx 4 - ip 3,mx 4 - ip 4,mx 4 - ip 5,mx 4 - ip 6,mx 4 - ip 7,mx 4 - ip 8,mx 4 - ip 9,mx 4 - priority,mx 5 - host,mx 5 - domain,mx 5 - ip 1,mx 5 - ip 2,mx 5 - ip 3,mx 5 - ip 4,mx 5 - ip 5,mx 5 - ip 6,mx 5 - ip 7,mx 5 - ip 8,mx 5 - ip 9,mx 5 - priority,mx 6 - host,mx 6 - domain,mx 6 - ip 1,mx 6 - ip 2,mx 6 - ip 3,mx 6 - ip 4,mx 6 - ip 5,mx 6 - ip 6,mx 6 - ip 7,mx 6 - ip 8,mx 6 - ip 9,mx 6 - priority,mx 7 - host,mx 7 - domain,mx 7 - ip 1,mx 7 - ip 2,mx 7 - ip 3,mx 7 - ip 4,mx 7 - ip 5,mx 7 - ip 6,mx 7 - ip 7,mx 7 - ip 8,mx 7 - ip 9,mx 7 - priority,ssl 1 - subject,ssl 1 - hash,ssl 1 - organization,ssl 1 - email,ssl 2 - subject,ssl 2 - hash,ssl 2 - organization,ssl 2 - email,ssl 3 - subject,ssl 3 - hash,ssl 3 - organization,ssl 3 - email,name server 1 - host,name server 1 - domain,name server 1 - ip 1,name server 1 - ip 2,name server 1 - ip 3,name server 1 - ip 4,name server 1 - ip 5,name server 1 - ip 6,name server 1 - ip 7,name server 1 - ip 8,name server 1 - ip 9,name server 1 - ip 10,name server 2 - host,name server 2 - domain,name server 2 - ip 1,name server 2 - ip 2,name server 2 - ip 3,name server 2 - ip 4,name server 2 - ip 5,name server 2 - ip 6,name server 2 - ip 7,name server 2 - ip 8,name server 2 - ip 9,name server 2 - ip 10,name server 3 - host,name server 3 - domain,name server 3 - ip 1,name server 3 - ip 2,name server 3 - ip 3,name server 3 - ip 4,name server 3 - ip 5,name server 3 - ip 6,name server 3 - ip 7,name server 3 - ip 8,name server 3 - ip 9,name server 3 - ip 10,name server 4 - host,name server 4 - domain,name server 4 - ip 1,name server 4 - ip 2,name server 4 - ip 3,name server 4 - ip 4,name server 4 - ip 5,name server 4 - ip 6,name server 4 - ip 7,name server 4 - ip 8,name server 4 - ip 9,name server 4 - ip 10,name server 5 - host,name server 5 - domain,name server 5 - ip 1,name server 5 - ip 2,name server 5 - ip 3,name server 5 - ip 4,name server 5 - ip 5,name server 5 - ip 6,name server 5 - ip 7,name server 5 - ip 8,name server 5 - ip 9,name server 5 - ip 10,name server 6 - host,name server 6 - domain,name server 6 - ip 1,name server 6 - ip 2,name server 6 - ip 3,name server 6 - ip 4,name server 6 - ip 5,name server 6 - ip 6,name server 6 - ip 7,name server 6 - ip 8,name server 6 - ip 9,name server 6 - ip 10,name server 7 - host,name server 7 - domain,name server 7 - ip 1,name server 7 - ip 2,name server 7 - ip 3,name server 7 - ip 4,name server 7 - ip 5,name server 7 - ip 6,name server 7 - ip 7,name server 7 - ip 8,name server 7 - ip 9,name server 7 - ip 10,name server 8 - host,name server 8 - domain,name server 8 - ip 1,name server 8 - ip 2,name server 8 - ip 3,name server 8 - ip 4,name server 8 - ip 5,name server 8 - ip 6,name server 8 - ip 7,name server 8 - ip 8,name server 8 - ip 9,name server 8 - ip 10,risk score,redirect,redirect domain,registrant name,registrant org,registrar,registrar status 1,registrar status 2,registrar status 3,registrar status 4,registrar status 5,tld,website response,first seen,website title,server type,ssl 1 - common name,ssl 1 - issuer common name,ssl 1 - not before,ssl 1 - not after,ssl 1 - duration,ssl 2 - common name,ssl 2 - issuer common name,ssl 2 - not before,ssl 2 - not after,ssl 2 - duration,ssl 3 - common name,ssl 3 - issuer common name,ssl 3 - not before,ssl 3 - not after,ssl 3 - duration,ga4 1,ga4 2,ga4 3,gtm 1,gtm 2,gtm 3,fb_codes 1,fb_codes 2,fb_codes 3,hotjar_codes 1,baidu_codes 1,baidu_codes 2,baidu_codes 3,matomo_codes 1,statcounter_project_codes 1,statcounter_project_codes 2,statcounter_project_codes 3,statcounter_security_codes 1,statcounter_security_codes 2,statcounter_security_codes 3,yandex_codes 1,yandex_codes 2,yandex_codes 3,registrar iana id
"belamai.shop","https://whois.domaintools.com/belamai.shop","","","","","","","","","","","","","","active","Domain Admin","Privacy Protection Service INC d/b/a PrivacyProtect.org","C/O ID#10760, PO Box 16 Note - Visit PrivacyProtect.org to contact the domain owner/operator Note - Visit PrivacyProtect.org to contact the domain owner/operator","Nobby Beach","Queensland","QLD 4218","au","79068447611","79068447611","goooogleads@proton.me","","","","","","","","","","","","","","","Domain Admin","Privacy Protection Service INC d/b/a PrivacyProtect.org","C/O ID#10760, PO Box 16 Note - Visit PrivacyProtect.org to contact the domain owner/operator Note - Visit PrivacyProtect.org to contact the domain owner/operator","Nobby Beach","Queensland","QLD 4218","au","79068447611","79068447611","goooogleads@proton.me","","","Domain Admin","Privacy Protection Service INC d/b/a PrivacyProtect.org","C/O ID#10760, PO Box 16 Note - Visit PrivacyProtect.org to contact the domain owner/operator Note - Visit PrivacyProtect.org to contact the domain owner/operator","Nobby Beach","Queensland","QLD 4218","au","79068447611","79068447611","goooogleads@proton.me","","","2024-12-11","2025-12-11","cloudflare.com","reg.ru","proton.me","","","","dns@cloudflare.com","abuse@reg.ru","","","104.21.48.1","13335","us","CloudFlare Inc.","104.21.16.1","13335","us","CloudFlare Inc.","104.21.80.1","13335","us","CloudFlare Inc.","104.21.32.1","13335","us","CloudFlare Inc.","104.21.96.1","13335","us","CloudFlare Inc.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","CN=belamai.shop","3ddd4eb4edc7e12db71d9eb404c8c51c8861e406","","","","","","","","","","","syeef.ns.cloudflare.com","cloudflare.com","108.162.195.238","162.159.44.238","172.64.35.238","","","","","","","","annalise.ns.cloudflare.com","cloudflare.com","172.64.34.234","162.159.38.234","108.162.194.234","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","","","Domain Admin","Privacy Protection Service INC d/b/a PrivacyProtect.org","Registrar of Domain Names REG.RU LLC","clienttransferprohibited","","","","","shop","200","2024-12-11T15:19:22.883000+00:00","About Cats","cloudflare","belamai.shop","WE1","20250408","20250707","91","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1606"
"cat-are-here.ru","https://whois.domaintools.com/cat-are-here.ru","","","","","","","","","","","","","","active","","","","","","","","","","","","","","","","","","","","","","","","","Private Person","","","","","","","","","","","","","","","","","","","","","","","","2025-01-23","2026-01-23","regery.com","","","","","","support@regery.com","","","","213.209.143.24","214943","tr","Virtualine Technologies","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","CN=cat-are-here.ru","855a3f7d07686b00b942362e9697e510677cd368","","","","","","","","","","","pns3.regery.net","regery.net","188.40.168.194","","","","","","","","","","pns2.regery.net","regery.net","188.40.168.197","","","","","","","","","","pns1.regery.net","regery.net","188.40.168.194","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","","","Private Person","Private Person","OPENPROV-RU","registered,","","","","","ru","200","2025-01-23T13:25:44.764000+00:00","About Cats","cloudflare","cat-are-here.ru","WE1","20250323","20250621","91","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"cozkeu.shop","https://whois.domaintools.com/cozkeu.shop","","","","","","","","","","","","","","active","Redacted for Privacy","Privacy service provided by Withheld for Privacy ehf","Kalkofnsvegur 2","Reykjavik","Capital Region","101","is","3544212434","","48360d300e9549d09ef0988f1f3e9940.protect@withheldforprivacy.com","","","","","","","","","","","","","","","Redacted for Privacy","Privacy service provided by Withheld for Privacy ehf","Kalkofnsvegur 2","Reykjavik","Capital Region","101","is","3544212434","","48360d300e9549d09ef0988f1f3e9940.protect@withheldforprivacy.com","","","Redacted for Privacy","Privacy service provided by Withheld for Privacy ehf","Kalkofnsvegur 2","Reykjavik","Capital Region","101","is","3544212434","","48360d300e9549d09ef0988f1f3e9940.protect@withheldforprivacy.com","","","2025-02-07","2026-02-07","withheldforprivacy.com","namecheap.com","cloudflare.com","","","","dns@cloudflare.com","abuse@namecheap.com","","","104.21.74.43","13335","us","CloudFlare Inc.","172.67.197.195","13335","us","CloudFlare Inc.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","CN=cozkeu.shop","e93bc45fb347af950416df0c07b30a3314a6c0fa","","","","","","","","","","","jeff.ns.cloudflare.com","cloudflare.com","173.245.59.124","108.162.193.124","172.64.33.124","","","","","","","","naya.ns.cloudflare.com","cloudflare.com","162.159.38.242","108.162.194.242","172.64.34.242","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","","","Redacted for Privacy","Privacy service provided by Withheld for Privacy ehf","NAMECHEAP INC","clienttransferprohibited","","","","","shop","200","2025-02-07T18:25:38.478000+00:00","About Cats","cloudflare","cozkeu.shop","WE1","20250407","20250706","91","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1068"
"cyqfuy.shop","https://whois.domaintools.com/cyqfuy.shop","","","","","","","","","","","","","","active","Redacted for Privacy","Privacy service provided by Withheld for Privacy ehf","Kalkofnsvegur 2","Reykjavik","Capital Region","101","IS","tel:+354.4212434","","edf65a0c3eb94b3181460ea8fffea76b.protect@withheldforprivacy.com","","","","","","","","","","","","","","","Redacted for Privacy","Privacy service provided by Withheld for Privacy ehf","Kalkofnsvegur 2","Reykjavik","Capital Region","101","IS","tel:+354.4212434","","edf65a0c3eb94b3181460ea8fffea76b.protect@withheldforprivacy.com","","","Redacted for Privacy","Privacy service provided by Withheld for Privacy ehf","Kalkofnsvegur 2","Reykjavik","Capital Region","101","IS","tel:+354.4212434","","edf65a0c3eb94b3181460ea8fffea76b.protect@withheldforprivacy.com","","","2025-02-07","2026-02-07","withheldforprivacy.com","namecheap.com","cloudflare.com","","","","dns@cloudflare.com","abuse@namecheap.com","support@namecheap.com","","172.67.194.243","13335","us","CloudFlare Inc.","104.21.90.46","13335","us","CloudFlare Inc.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","CN=cyqfuy.shop","d6c942ac6bb018bfacbd0b805048452d773208b7","","","","","","","","","","","jeff.ns.cloudflare.com","cloudflare.com","108.162.193.124","173.245.59.124","172.64.33.124","","","","","","","","naya.ns.cloudflare.com","cloudflare.com","172.64.34.242","162.159.38.242","108.162.194.242","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","","","Redacted for Privacy","Privacy service provided by Withheld for Privacy ehf","NAMECHEAP INC","client","transfer","prohibited","","","shop","200","2025-02-07T18:44:33.992000+00:00","About Cats","cloudflare","cyqfuy.shop","WE1","20250407","20250706","91","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1068"
"fabzswingers.com","https://whois.domaintools.com/fabzswingers.com","","","","","","","","","","","","","","active","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","","","redacted for privacy","","","","","","","","","","","","","","","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","Charlestown","REDACTED FOR PRIVACY","kn","","","https://tieredaccess.com/contact/41e19500-be48-4754-ae7a-a74e0428b04e","","","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","","","redacted for privacy","","","2025-03-06","2026-03-06","tucows.com","can-get-no.info","","","","","you@can-get-no.info","domainabuse@tucows.com","","","176.65.142.154","214717","lt","Silent Connection Ltd.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","CN=fabzswingers.com","2f92195f0a8acddfcf33ccba61044a323783e354","","","CN=fabzswingers.com","3dba7dd1cde233fc0645b0f5d80e326324c00955","","","","","","","2-can.njalla.in","njalla.in","185.193.124.34","","","","","","","","","","1-you.njalla.no","njalla.no","185.193.124.2","","","","","","","","","","3-get.njalla.fo","njalla.fo","95.215.19.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","","","REDACTED FOR PRIVACY","REDACTED FOR PRIVACY","TUCOWS, INC.","clientupdateprohibited","","","","","com","200","2025-03-06T06:44:42.917000+00:00","About Cats","cloudflare","fabzswingers.com","R11","20250306","20250604","90","fabzswingers.com","R11","20250306","20250604","90","","","","","","","","","","","","","","","","","","","","","","","","","","","","","69"
"fireflypath.shop","https://whois.domaintools.com/fireflypath.shop","","","","","","","","","","","","","","active","Redacted for Privacy","Privacy service provided by Withheld for Privacy ehf","Kalkofnsvegur 2","Reykjavik","Capital Region","101","is","3544212434","","5c931c5129104a1993c22b6a42def5ea.protect@withheldforprivacy.com","","","","","","","","","","","","","","","Redacted for Privacy","Privacy service provided by Withheld for Privacy ehf","Kalkofnsvegur 2","Reykjavik","Capital Region","101","is","3544212434","","5c931c5129104a1993c22b6a42def5ea.protect@withheldforprivacy.com","","","Redacted for Privacy","Privacy service provided by Withheld for Privacy ehf","Kalkofnsvegur 2","Reykjavik","Capital Region","101","is","3544212434","","5c931c5129104a1993c22b6a42def5ea.protect@withheldforprivacy.com","","","2024-11-23","2025-11-23","withheldforprivacy.com","cloudflare.com","namecheap.com","","","","dns@cloudflare.com","abuse@namecheap.com","","","104.21.80.1","13335","us","CloudFlare Inc.","104.21.64.1","13335","us","CloudFlare Inc.","104.21.32.1","13335","us","CloudFlare Inc.","104.21.96.1","13335","us","CloudFlare Inc.","104.21.112.1","13335","us","CloudFlare Inc.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","CN=fireflypath.shop","5e1f4b3f6cd9b508fd14ef5930eee1663997b623","","","CN=fireflypath.shop","9d2be9d078a76eab2510fb6ebc9080e8383561d0","","","CN=fireflypath.shop","aeeeb8ee29ede289de714a962eb3d489adefaa08","","","annalise.ns.cloudflare.com","cloudflare.com","172.64.34.234","108.162.194.234","162.159.38.234","","","","","","","","syeef.ns.cloudflare.com","cloudflare.com","108.162.195.238","172.64.35.238","162.159.44.238","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","","","Redacted for Privacy","Privacy service provided by Withheld for Privacy ehf","NAMECHEAP INC","clienttransferprohibited","","","","","shop","200","2024-11-23T20:11:20.269000+00:00","About Cats","cloudflare","fireflypath.shop","WE1","20250520","20250818","91","fireflypath.shop","WE1","20250322","20250620","91","fireflypath.shop","WE1","20250520","20250818","91","","","","","","","","","","","","","","","","","","","","","","","","1068"
"forestchime.shop","https://whois.domaintools.com/forestchime.shop","","","","","","","","","","","","","","active","Redacted for Privacy","Privacy service provided by Withheld for Privacy ehf","Kalkofnsvegur 2","Reykjavik","Capital Region","101","is","3544212434","","36a25a0c6dbc42e3b0018a89cf1e5d7c.protect@withheldforprivacy.com","","","","","","","","","","","","","","","Redacted for Privacy","Privacy service provided by Withheld for Privacy ehf","Kalkofnsvegur 2","Reykjavik","Capital Region","101","is","3544212434","","36a25a0c6dbc42e3b0018a89cf1e5d7c.protect@withheldforprivacy.com","","","Redacted for Privacy","Privacy service provided by Withheld for Privacy ehf","Kalkofnsvegur 2","Reykjavik","Capital Region","101","is","3544212434","","36a25a0c6dbc42e3b0018a89cf1e5d7c.protect@withheldforprivacy.com","","","2024-11-23","2025-11-23","withheldforprivacy.com","cloudflare.com","namecheap.com","","","","dns@cloudflare.com","abuse@namecheap.com","","","104.21.82.73","13335","us","CloudFlare Inc.","172.67.154.130","13335","us","CloudFlare Inc.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","CN=forestchime.shop","14dfd033cc71a77e2532c9a811fecafc3da0b71b","","","","","","","","","","","syeef.ns.cloudflare.com","cloudflare.com","172.64.35.238","108.162.195.238","162.159.44.238","","","","","","","","annalise.ns.cloudflare.com","cloudflare.com","172.64.34.234","162.159.38.234","108.162.194.234","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","","","Redacted for Privacy","Privacy service provided by Withheld for Privacy ehf","NAMECHEAP INC","clienttransferprohibited","","","","","shop","200","2024-11-23T12:47:33.506000+00:00","About Cats","cloudflare","forestchime.shop","WE1","20250519","20250817","91","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1068"
"gentlestream.shop","https://whois.domaintools.com/gentlestream.shop","","","","","","","","","","","","","","active","Redacted for Privacy","Privacy service provided by Withheld for Privacy ehf","Kalkofnsvegur 2","Reykjavik","Capital Region","101","is","3544212434","","45a16d54edb7453c992f898c6085d7aa.protect@withheldforprivacy.com","","","","","","","","","","","","","","","Redacted for Privacy","Privacy service provided by Withheld for Privacy ehf","Kalkofnsvegur 2","Reykjavik","Capital Region","101","is","3544212434","","45a16d54edb7453c992f898c6085d7aa.protect@withheldforprivacy.com","","","Redacted for Privacy","Privacy service provided by Withheld for Privacy ehf","Kalkofnsvegur 2","Reykjavik","Capital Region","101","is","3544212434","","45a16d54edb7453c992f898c6085d7aa.protect@withheldforprivacy.com","","","2024-11-23","2025-11-23","namecheap.com","cloudflare.com","withheldforprivacy.com","","","","dns@cloudflare.com","abuse@namecheap.com","","","104.21.80.1","13335","us","CloudFlare Inc.","104.21.112.1","13335","us","CloudFlare Inc.","104.21.96.1","13335","us","CloudFlare Inc.","104.21.32.1","13335","us","CloudFlare Inc.","104.21.64.1","13335","us","CloudFlare Inc.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","CN=gentlestream.shop","de3f771aa9f577d7059e977bd25ee1cddab98716","","","CN=gentlestream.shop","408a1ab56ee6b1547199460f0cf2e6ab4c0df2e5","","","","","","","syeef.ns.cloudflare.com","cloudflare.com","162.159.44.238","172.64.35.238","108.162.195.238","","","","","","","","annalise.ns.cloudflare.com","cloudflare.com","108.162.194.234","162.159.38.234","172.64.34.234","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","","","Redacted for Privacy","Privacy service provided by Withheld for Privacy ehf","NAMECHEAP INC","clienttransferprohibited","","","","","shop","200","2024-11-23T20:09:36.699000+00:00","About Cats","cloudflare","gentlestream.shop","WE1","20250321","20250619","91","gentlestream.shop","WE1","20250519","20250817","91","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1068"
"gewrye.shop","https://whois.domaintools.com/gewrye.shop","","","","","","","","","","","","","","active","Redacted for Privacy","Privacy service provided by Withheld for Privacy ehf","Kalkofnsvegur 2","Reykjavik","Capital Region","101","is","3544212434","","fa43d5ac21544a9bba95e04c7e4bc250.protect@withheldforprivacy.com","","","","","","","","","","","","","","","Redacted for Privacy","Privacy service provided by Withheld for Privacy ehf","Kalkofnsvegur 2","Reykjavik","Capital Region","101","is","3544212434","","fa43d5ac21544a9bba95e04c7e4bc250.protect@withheldforprivacy.com","","","Redacted for Privacy","Privacy service provided by Withheld for Privacy ehf","Kalkofnsvegur 2","Reykjavik","Capital Region","101","is","3544212434","","fa43d5ac21544a9bba95e04c7e4bc250.protect@withheldforprivacy.com","","","2025-02-07","2026-02-07","namecheap.com","withheldforprivacy.com","cloudflare.com","","","","dns@cloudflare.com","abuse@namecheap.com","","","104.21.14.59","13335","us","CloudFlare Inc.","172.67.158.26","13335","us","CloudFlare Inc.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","CN=gewrye.shop","3d0298c42092552192ce9d38c0d3a8bea1b0d259","","","CN=gewrye.shop","929ed077e785eed52dca775d991c9e66784c51ae","","","","","","","naya.ns.cloudflare.com","cloudflare.com","162.159.38.242","108.162.194.242","172.64.34.242","","","","","","","","jeff.ns.cloudflare.com","cloudflare.com","173.245.59.124","172.64.33.124","108.162.193.124","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","","","Redacted for Privacy","Privacy service provided by Withheld for Privacy ehf","NAMECHEAP INC","clienttransferprohibited","","","","","shop","200","2025-02-07T18:45:26.410000+00:00","About Cats","cloudflare","gewrye.shop","WE1","20250407","20250706","91","gewrye.shop","WE1","20250407","20250706","91","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1068"
"happyjourney.shop","https://whois.domaintools.com/happyjourney.shop","","","","","","","","","","","","","","active","Redacted for Privacy","Privacy service provided by Withheld for Privacy ehf","Kalkofnsvegur 2","Reykjavik","Capital Region","101","is","3544212434","","4d9dd0f2400e4d0484eb7b8245a14521.protect@withheldforprivacy.com","","","","","","","","","","","","","","","Redacted for Privacy","Privacy service provided by Withheld for Privacy ehf","Kalkofnsvegur 2","Reykjavik","Capital Region","101","is","3544212434","","4d9dd0f2400e4d0484eb7b8245a14521.protect@withheldforprivacy.com","","","Redacted for Privacy","Privacy service provided by Withheld for Privacy ehf","Kalkofnsvegur 2","Reykjavik","Capital Region","101","is","3544212434","","4d9dd0f2400e4d0484eb7b8245a14521.protect@withheldforprivacy.com","","","2024-11-16","2025-11-16","namecheap.com","cloudflare.com","withheldforprivacy.com","","","","dns@cloudflare.com","abuse@namecheap.com","","","104.21.112.1","13335","us","CloudFlare Inc.","104.21.96.1","13335","us","CloudFlare Inc.","104.21.48.1","13335","us","CloudFlare Inc.","104.21.64.1","13335","us","CloudFlare Inc.","104.21.32.1","13335","us","CloudFlare Inc.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","CN=happyjourney.shop","509c8ce7c78111303f0e03babd3551054f5ee3cc","","","CN=happyjourney.shop","0e9f6c970f62fb619080e436fe05dc7a05164f3b","","","","","","","syeef.ns.cloudflare.com","cloudflare.com","172.64.35.238","162.159.44.238","108.162.195.238","","","","","","","","annalise.ns.cloudflare.com","cloudflare.com","162.159.38.234","172.64.34.234","108.162.194.234","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","","","Redacted for Privacy","Privacy service provided by Withheld for Privacy ehf","NAMECHEAP INC","clienttransferprohibited","","","","","shop","200","2024-11-16T13:19:46.405000+00:00","About Cats","cloudflare","happyjourney.shop","WE1","20250512","20250810","91","happyjourney.shop","WE1","20250512","20250810","91","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1068"
